"Model","CFI","TLI","RMSEA","SRMR"
"reg_model",0.914668887043914,0.856003746886605,0.0483643343938707,0.0210158995440815
"crosslagged_model",0.760480009715409,0.690032953749352,0.0990024308189671,0.0990024308189671
