"ID","FSM","C1_Eng","C1_Mat","C2_Eng","C2_Mat","C3_Eng","C3_Mat","C1_Btotal","C2_Btotal","C3_Btotal","C1_AGtotal","C2_AGtotal","C3_AGtotal","C1_SCtotal","C2_SCtotal","C3_SCtotal","C1_LTtotal","C2_LTtotal","C3_LTtotal","C1_Ltotal","C2_Ltotal","C3_Ltotal"
1065,2,4,4,4,4,5,4,40,33,32,18,19,18,138,80,42,34,37,17,28,7,7
1066,1,5,4,5,4,6,6,33,34,34,16,15,16,101,66,50,37,34,16,22,9,10
1067,2,4,4,4,4,5,6,45,33,42,13,15,8,81,55,41,31,19,27,35,17,12
1068,1,4,4,4,4,6,6,34,32,31,18,16,13,41,56,51,40,40,21,22,17,14
1069,1,5,5,5,5,6,6,33,33,37,14,15,17,100,36,38,31,40,15,16,12,13
1070,1,4,4,4,4,4,5,40,33,38,13,16,16,47,40,26,22,40,17,53,9,8
1071,1,4,4,4,4,5,5,39,35,42,12,13,10,79,117,69,19,10,36,36,13,17
1072,2,4,4,4,4,6,6,29,33,36,14,15,10,45,25,30,40,40,19,18,8,7
1073,1,4,4,4,4,5,5,29,38,36,12,18,18,69,44,47,40,40,13,16,10,8
1074,1,4,3,4,3,5,4,34,32,30,15,14,11,72,39,27,13,40,21,25,8,8
1075,1,4,5,4,5,5,6,37,34,32,12,10,10,68,62,30,37,37,23,21,19,13
1076,1,4,5,4,5,6,6,35,33,33,9,14,7,125,36,43,10,31,23,39,10,11
1077,1,4,4,4,4,5,6,37,35,41,14,19,17,105,125,80,31,40,23,35,9,18
1078,1,4,4,4,4,5,6,34,33,34,17,18,16,52,25,28,37,37,18,18,7,7
1079,1,4,4,4,4,5,5,42,35,37,13,14,13,99,105,40,34,28,28,25,13,7
1080,1,4,4,4,4,5,6,48,31,45,14,13,14,62,39,48,10,40,13,37,7,15
1081,2,3,4,3,4,5,5,35,30,31,12,15,17,78,84,38,31,40,21,16,11,7
1082,1,4,4,4,4,5,6,37,33,35,18,18,17,103,91,60,37,40,22,25,12,13
