"ID","FSM","C1_Eng","C1_Mat","C2_Eng","C2_Mat","C3_Eng","C3_Mat","C1_Btotal","C2_Btotal","C3_Btotal","C1_AGtotal","C2_AGtotal","C3_AGtotal","C1_SCtotal","C2_SCtotal","C3_SCtotal","C1_LTtotal","C2_LTtotal","C3_LTtotal","C1_Ltotal","C2_Ltotal","C3_Ltotal"
1276,1,4,5,4,5,5,6,34,36,33,13,10,12,72,89,48,37,28,20,43,17,16
1277,1,4,4,4,4,5,5,32,33,30,14,17,14,74,29,47,40,40,18,23,9,10
1278,2,4,4,4,4,5,5,33,34,37,12,18,18,108,27,61,34,40,18,40,10,9
1279,1,5,4,5,4,6,6,46,35,35,16,14,13,95,171,39,31,37,16,48,22,8
1281,2,4,4,4,4,5,4,32,37,39,18,18,16,116,134,119,40,34,25,36,24,23
1282,1,5,4,5,4,6,6,32,32,34,12,9,11,56,58,36,16,34,23,41,11,9
1283,1,2,3,2,3,3,4,37,38,32,7,18,20,93,180,92,19,25,27,32,14,15
1284,2,4,4,4,4,7,6,38,34,36,12,18,13,107,25,53,28,40,16,39,8,10
1285,1,4,5,4,5,6,6,28,31,31,16,10,11,61,54,79,37,40,24,22,11,8
1286,1,4,4,4,4,6,5,33,30,28,11,13,15,70,27,42,40,40,14,21,9,10
1287,1,4,3,4,3,5,4,34,33,31,13,17,14,138,110,115,37,34,25,19,14,15
1288,1,5,4,5,4,5,5,37,41,38,13,14,14,103,79,33,34,40,12,23,9,8
1289,1,4,4,4,4,5,5,37,36,37,18,19,17,76,79,59,28,40,15,20,7,13
1290,1,5,5,5,5,6,6,42,42,44,15,16,13,112,109,75,31,13,34,49,25,17
1291,1,3,4,3,4,2,5,34,34,38,8,14,20,83,93,78,40,25,20,23,22,15
1292,1,4,4,4,4,5,4,38,40,37,17,17,14,54,131,84,34,34,15,29,20,14
1293,1,4,3,4,3,5,4,40,36,33,18,20,19,89,38,24,25,34,14,21,8,8
1294,1,2,4,2,4,4,3,36,33,34,15,16,15,58,96,42,31,40,16,26,9,9
1295,2,3,3,3,3,4,4,37,37,34,9,16,14,56,51,34,34,34,26,25,13,8
1296,2,5,5,5,5,6,6,33,28,35,14,12,10,75,78,56,37,40,24,28,10,12
1297,1,4,4,4,4,5,6,33,36,27,10,11,10,62,61,56,34,34,34,47,9,7
1298,1,5,5,5,5,6,6,32,36,37,16,20,15,58,71,61,37,40,25,25,18,16
1299,2,4,4,4,4,5,6,34,34,29,19,17,15,57,20,20,25,31,20,23,14,7
1300,2,3,4,3,4,3,4,40,39,42,12,15,16,129,60,58,31,31,25,28,13,10
1301,1,2,2,2,2,2,3,32,38,39,13,20,11,88,112,124,28,22,26,29,20,11
1302,2,3,4,3,4,4,5,34,36,29,14,13,14,71,97,35,37,37,21,23,11,16
1303,1,5,5,5,5,5,6,38,39,37,18,20,20,110,56,80,37,40,12,20,8,10
1304,1,3,4,3,4,4,4,31,26,35,14,15,18,67,47,48,28,40,14,23,9,11
1305,2,4,3,4,3,4,4,38,45,42,13,18,10,96,80,86,28,40,21,46,13,19
1306,2,4,4,4,4,5,6,37,39,31,18,13,11,44,33,38,34,28,22,19,12,14
1308,2,4,5,4,5,5,6,31,30,34,14,16,18,120,39,56,40,40,19,22,14,11
1309,1,4,4,4,4,5,6,39,39,34,16,13,12,119,50,43,28,40,13,17,10,16
1310,2,1,2,1,2,3,3,32,35,34,10,15,13,116,57,36,37,19,21,41,12,9
1311,1,1,2,1,2,2,4,42,38,39,11,17,13,142,99,113,40,19,19,59,22,25
2001,1,5,4,5,4,7,5,30,33,38,19,18,17,68,90,50,40,40,18,15,8,7
2002,2,4,3,4,3,4,5,41,35,41,14,12,10,108,77,60,28,19,18,42,19,11
2003,1,4,5,4,5,5,7,36,30,25,16,12,13,75,86,79,34,31,22,24,13,8
2004,1,5,6,5,6,7,7,39,33,33,14,15,14,139,51,29,40,37,15,18,8,9
2005,1,4,4,4,4,5,5,34,35,33,13,15,17,96,80,132,34,34,16,33,13,9
2006,1,5,5,5,5,6,5,32,30,32,16,16,18,75,50,34,34,37,22,27,21,8
2007,2,3,3,3,3,4,3,38,27,28,17,12,13,40,78,35,28,28,26,16,10,10
2008,1,3,1,3,1,4,3,31,30,33,17,17,18,70,47,32,28,40,12,21,22,9
2009,1,4,4,4,4,6,6,31,33,34,18,17,16,72,77,91,37,37,20,28,11,12
2010,1,5,6,5,6,6,7,35,39,38,9,13,16,76,79,42,40,34,30,56,17,11
2011,1,5,5,5,5,6,7,43,42,37,17,16,18,101,70,48,40,40,15,30,12,12
2012,2,5,4,5,4,4,5,34,37,37,13,13,16,69,75,60,31,34,25,22,16,13
2013,1,5,6,5,6,7,8,36,28,29,11,14,16,73,63,36,19,34,21,36,14,13
2014,1,5,5,5,5,7,8,40,39,39,20,19,19,158,166,124,40,40,26,50,17,24
2015,1,5,5,5,5,7,7,33,35,38,11,14,15,71,105,60,16,31,21,21,12,14
2016,1,5,5,5,5,6,6,36,31,29,18,17,12,70,28,30,34,31,23,18,7,9
2017,2,3,4,3,4,4,4,34,30,32,10,9,14,79,62,83,37,28,19,37,9,9
2018,2,4,4,4,4,3,6,37,33,32,18,16,12,74,52,32,37,31,31,21,16,12
2019,2,4,4,4,4,6,5,32,34,40,15,19,14,60,22,21,13,34,29,24,7,7
2020,1,4,5,4,5,6,7,33,35,34,19,18,17,61,61,45,34,40,17,21,14,19
2021,1,2,1,2,1,4,3,35,36,34,19,13,12,115,102,111,25,40,19,30,20,13
2022,1,4,4,4,4,5,6,37,31,31,15,13,15,80,100,59,34,40,21,37,19,12
2023,2,3,3,3,3,4,4,32,35,27,7,14,14,84,41,59,28,37,26,45,12,14
2024,1,4,4,4,4,5,7,36,36,36,20,17,16,122,122,84,40,40,17,15,10,10
2025,1,4,5,4,5,6,7,33,28,33,19,19,15,64,33,38,37,40,23,20,8,9
2026,1,4,4,4,4,5,6,44,30,33,9,18,13,90,82,44,31,37,19,52,8,9
2027,2,3,3,3,3,4,4,36,33,30,11,15,18,90,74,43,34,34,23,21,11,11
2028,1,4,5,4,5,6,7,35,34,31,17,17,17,73,24,25,34,40,20,20,13,10
2029,1,5,5,5,5,6,7,28,30,29,13,15,16,45,49,52,37,37,15,25,9,7
2030,1,5,4,5,4,7,6,36,42,37,16,17,14,78,117,38,34,40,24,22,13,13
2031,2,5,5,5,5,7,7,40,41,40,17,18,15,40,85,38,40,40,15,21,16,10
2032,1,4,4,4,4,6,6,41,39,43,14,14,15,84,57,33,37,34,21,18,14,19
2033,1,4,5,4,5,5,8,33,34,30,20,19,15,43,20,28,13,40,16,25,8,10
2034,1,5,5,5,5,6,7,32,31,33,16,16,14,59,48,67,37,31,26,21,10,11
2035,2,5,5,5,5,7,8,36,30,36,16,12,16,85,43,44,37,34,15,34,9,14
2036,1,4,4,4,4,5,6,36,54,33,17,20,12,133,122,39,25,37,20,16,9,19
2037,2,4,4,4,4,5,6,38,40,45,16,18,11,88,84,44,28,28,32,25,14,10
2038,1,5,6,5,6,6,8,35,36,34,10,9,8,47,57,43,31,34,26,23,9,9
2039,2,4,5,4,5,6,7,37,35,37,11,14,12,111,61,75,25,28,33,39,12,9
2040,1,3,3,3,3,4,4,33,42,36,13,15,16,100,101,43,34,40,17,34,7,7
2041,1,3,4,3,4,5,5,37,31,32,9,13,10,41,66,41,40,34,25,29,13,13
2042,2,3,4,3,4,4,6,37,39,32,14,12,17,77,29,32,37,25,23,20,11,10
2043,1,3,3,3,3,4,3,31,33,30,11,16,17,72,56,29,28,34,16,35,11,7
2044,1,5,4,5,4,6,6,36,35,32,17,14,19,73,48,29,40,40,21,18,9,14
2045,1,4,4,4,4,5,6,36,35,34,11,14,15,54,59,22,28,37,16,25,10,7
2046,1,5,5,5,5,6,8,33,34,32,16,15,13,42,45,33,40,37,23,21,14,15
2047,1,4,4,4,4,6,6,34,36,35,14,20,15,67,68,52,28,37,26,17,14,11
2048,1,4,4,4,4,5,6,34,33,34,12,16,17,121,39,33,37,25,17,31,13,7
2049,1,4,4,4,4,5,6,35,36,35,10,15,10,89,34,35,40,34,15,31,7,8
2050,1,4,4,4,4,5,7,35,37,37,18,18,14,80,99,59,28,40,25,29,9,10
2051,1,5,5,5,5,6,7,38,36,42,13,13,8,56,22,35,34,37,27,20,12,15
2052,1,5,5,5,5,7,7,34,36,38,12,10,8,100,84,72,40,40,24,25,17,17
2053,2,5,4,5,4,6,7,32,33,34,16,16,16,41,121,140,40,40,12,17,9,8
2054,1,5,5,5,5,6,6,32,33,38,18,19,15,62,29,78,40,34,28,19,9,16
2055,1,2,3,2,3,4,4,39,35,35,13,12,16,75,45,96,28,31,17,30,9,13
2056,1,5,4,5,4,7,6,44,39,41,17,20,18,96,153,53,34,28,17,38,14,8
2057,1,5,5,5,5,6,7,34,36,31,14,17,14,93,68,20,40,34,24,16,11,8
2058,1,5,4,5,4,7,5,33,38,41,14,18,16,122,73,97,28,28,21,49,12,10
2059,2,4,4,4,4,5,6,36,34,38,17,19,16,90,85,37,19,37,26,47,12,8
2060,1,5,5,5,5,6,6,27,33,31,15,13,12,52,79,33,28,34,20,41,21,11
2061,2,4,5,4,5,5,6,35,33,32,16,19,17,101,42,58,40,34,18,24,10,11
2062,1,5,5,5,5,7,7,34,36,36,16,19,16,96,67,43,34,40,13,18,7,7
2063,1,4,5,4,5,6,7,28,33,33,16,20,12,23,25,21,37,40,21,15,7,7
2064,2,4,4,4,4,5,5,36,33,34,19,12,13,75,100,98,34,37,22,34,13,13
2065,1,4,4,4,4,6,7,38,36,38,12,14,11,87,88,67,16,34,34,32,14,21
2066,1,4,4,4,4,5,6,35,31,29,14,19,13,77,49,35,31,34,26,27,15,12
2067,2,4,5,4,5,6,7,41,34,36,18,16,10,84,39,38,22,34,27,35,9,13
2068,1,5,5,5,5,7,7,34,35,35,15,18,13,80,105,42,10,40,18,30,15,10
2069,1,4,5,4,5,5,7,37,31,43,18,15,10,83,33,57,25,34,30,36,7,11
2070,2,4,4,4,4,5,4,36,36,33,19,20,19,78,31,83,40,28,25,24,14,12
2071,1,4,4,4,4,6,6,36,37,33,17,17,14,58,49,30,37,40,25,24,9,8
2072,2,4,5,4,5,6,6,32,42,39,13,18,16,144,106,40,37,31,24,27,10,7
2073,1,3,4,3,4,3,4,36,36,33,13,17,16,122,62,60,37,40,21,18,15,13
2074,1,4,4,4,4,6,6,33,34,35,16,14,17,87,51,31,34,40,23,24,10,9
2075,1,4,5,4,5,6,7,38,37,39,15,17,17,116,100,50,31,37,20,62,24,21
2076,1,3,4,3,4,4,5,30,34,31,12,16,14,59,118,39,37,40,20,23,14,13
2077,1,5,5,5,5,7,7,31,36,32,14,12,11,51,71,52,37,37,20,22,12,11
2078,1,3,4,3,4,5,5,31,31,35,13,9,16,74,106,44,28,40,18,21,11,9
2079,1,5,4,5,4,7,7,42,48,40,19,17,12,71,43,84,31,31,31,32,9,20
2080,1,3,4,3,4,4,6,34,40,37,16,20,15,98,28,20,28,34,25,22,14,8
2081,1,3,4,3,4,5,5,37,33,40,16,17,16,87,83,44,28,40,18,18,14,10
2082,1,4,4,4,4,5,6,41,31,25,11,9,11,54,58,53,31,28,24,29,15,11
2083,1,5,5,5,5,7,7,35,38,35,14,13,14,92,104,99,40,34,29,25,12,11
2084,1,5,5,5,5,6,7,37,31,31,17,11,8,62,78,38,40,28,24,34,12,14
2085,1,5,5,5,5,6,7,38,35,36,14,11,12,102,21,27,16,25,39,18,8,15
2086,2,1,2,1,2,3,2,40,33,34,16,16,18,142,68,70,28,37,17,29,9,8
2087,1,4,4,4,4,6,6,36,34,35,16,15,11,36,56,27,40,40,20,23,11,7
2088,1,4,4,4,4,6,7,36,29,35,14,14,14,84,52,36,40,40,22,22,15,9
2089,1,4,4,4,4,6,6,41,38,36,15,13,13,140,141,73,37,28,20,28,27,26
2090,1,4,3,4,3,4,4,33,35,30,12,14,14,44,54,24,31,34,23,25,15,7
2091,2,4,4,4,4,6,5,30,31,29,8,14,17,62,42,29,10,28,20,41,17,12
2092,1,5,5,5,5,6,7,33,35,36,16,13,12,52,37,49,37,31,32,20,7,9
2093,1,5,5,5,5,6,7,33,29,35,20,17,14,48,51,34,16,40,26,32,10,9
2094,1,5,5,5,5,7,7,36,28,26,14,9,10,44,80,30,34,40,22,39,16,13
2095,1,4,5,4,5,5,6,38,41,37,15,12,8,98,38,28,31,25,28,27,13,13
2096,1,5,5,5,5,6,7,33,31,31,18,18,17,53,40,20,40,40,11,17,11,7
2097,1,4,4,4,4,5,4,32,37,31,14,14,16,62,38,20,31,19,26,18,10,12
2098,1,5,5,5,5,6,7,34,34,30,11,9,12,54,36,37,28,31,21,26,9,11
2099,1,3,2,3,2,3,3,29,33,32,15,20,16,111,44,47,40,34,21,20,10,9
2100,1,4,4,4,4,4,7,37,38,36,13,17,16,83,33,40,37,25,27,42,13,12
2101,1,4,4,4,4,5,5,41,34,35,12,15,17,137,76,65,37,28,16,25,8,16
2102,2,4,5,4,5,6,6,36,32,35,19,12,11,104,113,128,34,37,22,37,14,10
2103,1,4,5,4,5,5,6,32,36,41,15,16,14,48,35,97,37,40,29,24,15,12
2104,1,3,3,3,3,4,5,34,37,32,13,15,14,67,37,26,31,40,25,26,15,15
2105,1,4,4,4,4,6,6,34,32,35,15,14,13,55,55,36,40,40,16,18,9,8
2106,2,4,5,4,5,6,6,41,43,43,8,4,10,76,39,66,10,10,34,29,7,16
2107,1,5,5,5,5,7,8,32,36,32,14,13,9,69,59,31,31,31,22,21,14,14
2108,1,4,4,4,4,5,6,31,33,36,11,13,13,47,27,34,34,34,26,17,13,14
2109,1,5,5,5,5,6,6,30,31,33,17,15,16,78,41,35,31,28,33,19,11,9
2110,2,3,3,3,3,4,5,37,42,39,11,9,12,56,80,35,40,19,25,28,15,15
2111,1,5,5,5,5,7,6,36,33,32,17,18,12,135,87,42,37,37,16,27,11,12
2112,1,3,3,3,3,4,4,42,19,49,14,7,5,62,27,25,31,40,19,26,11,9
2113,1,4,4,4,4,6,6,32,33,35,14,15,12,85,30,20,40,40,26,22,12,11
2114,1,5,4,5,4,7,7,41,38,36,16,17,11,86,55,34,34,40,17,37,10,12
2115,1,5,3,5,3,5,4,41,40,35,18,11,15,99,105,59,19,34,19,37,26,18
2116,1,4,4,4,4,5,5,38,41,35,14,18,14,89,113,127,37,34,19,31,13,11
2117,1,4,4,4,4,6,5,35,29,34,8,13,12,82,28,73,31,28,21,27,9,12
2118,1,4,4,4,4,5,5,43,38,38,14,18,18,79,84,47,28,34,22,64,9,17
2119,1,4,4,4,4,6,6,31,31,34,15,18,17,90,76,55,34,34,19,19,9,7
2120,1,4,5,4,5,5,6,33,29,31,18,19,19,89,42,85,37,31,24,19,9,11
2121,1,4,5,4,5,6,7,33,30,19,19,20,8,63,80,104,34,40,29,45,8,9
2122,1,5,4,5,4,7,6,35,36,33,17,15,14,81,84,26,37,40,20,32,19,8
2123,1,3,3,3,3,5,5,38,36,37,15,11,17,75,87,40,37,34,19,23,10,14
2124,1,4,5,4,5,5,7,35,37,34,16,18,16,83,83,38,37,37,16,18,11,7
2125,1,3,4,3,4,4,4,36,41,34,5,5,4,79,197,52,37,25,25,23,13,13
2126,1,5,5,5,5,7,6,32,29,32,11,13,14,49,34,41,10,40,17,30,19,8
2127,1,4,4,4,4,6,5,35,35,29,13,16,15,118,65,33,31,34,21,18,8,8
2128,2,5,5,5,5,6,6,37,31,28,16,14,16,128,46,36,37,37,19,18,10,8
2129,1,5,5,5,5,7,6,35,33,39,19,16,16,86,93,136,40,34,23,16,13,8
2130,1,4,5,4,5,5,7,38,36,37,10,13,10,108,108,75,37,40,17,25,12,10
2131,1,5,5,5,5,6,5,39,36,33,14,14,13,105,31,27,31,40,23,31,11,11
2132,1,5,5,5,5,7,6,39,33,45,11,4,10,90,71,73,19,10,34,41,11,12
2133,1,4,3,4,3,5,4,30,34,35,12,15,14,52,71,44,37,37,17,21,10,10
2134,1,4,4,4,4,6,6,33,35,33,10,13,10,71,60,108,40,40,20,19,10,10
2135,1,4,5,4,5,6,6,31,31,36,20,18,12,31,45,20,28,40,20,15,11,13
2136,1,4,4,4,4,5,7,32,35,36,13,12,11,111,81,111,28,25,30,21,13,9
2137,1,4,5,4,5,6,5,39,41,38,11,11,12,110,57,86,40,31,28,36,13,14
2138,1,4,5,4,5,5,6,35,22,28,12,12,10,54,42,29,19,40,16,33,11,15
2139,2,2,3,2,3,4,4,37,41,42,14,14,15,64,76,41,16,31,23,27,9,10
2140,1,5,5,5,5,7,6,41,39,37,18,14,8,101,89,33,37,31,30,19,9,7
2141,1,4,5,4,5,6,7,41,32,31,15,14,10,59,76,52,37,40,16,28,14,8
2142,1,4,4,4,4,5,6,32,31,34,16,15,20,56,26,35,40,40,12,18,7,8
2143,1,3,3,3,3,5,4,39,42,37,13,19,19,137,69,64,34,34,15,42,22,16
2144,1,4,5,4,5,5,6,31,35,33,18,13,14,26,29,30,40,40,15,19,10,7
2145,1,4,5,4,5,6,6,35,38,36,20,17,16,54,63,29,40,40,16,16,11,9
2146,1,5,5,5,5,6,6,32,33,34,13,16,14,100,44,39,34,40,19,16,13,7
2147,1,4,4,4,4,6,6,35,31,32,18,16,13,85,43,45,34,37,26,36,10,17
2148,2,4,4,4,4,6,6,35,42,43,17,14,9,100,125,130,28,37,29,37,18,22
2149,1,4,4,4,4,6,5,35,32,33,17,14,15,73,75,31,40,40,25,33,8,8
2150,1,5,5,5,5,7,7,29,31,35,10,14,16,70,62,36,34,34,23,33,7,8
2151,1,5,4,5,4,6,6,36,40,35,12,12,13,76,81,87,37,28,17,42,17,10
2152,1,5,5,5,5,6,6,40,38,38,15,12,15,105,47,71,34,13,24,15,12,15
2153,2,3,3,3,3,4,4,32,37,35,12,12,10,83,43,53,34,40,22,32,7,16
2154,1,5,5,5,5,7,7,38,39,36,16,14,15,121,99,32,40,37,19,24,13,13
2155,1,5,5,5,5,7,7,36,42,39,17,16,15,117,123,70,40,40,14,36,21,15
2156,1,5,5,5,5,7,7,33,38,32,12,11,10,91,101,71,19,34,26,26,24,27
2157,1,4,4,4,4,5,6,37,32,37,19,18,17,96,68,57,28,40,17,26,11,12
2158,1,4,3,4,3,6,4,35,37,35,13,16,16,116,147,128,40,34,22,39,12,10
2159,1,4,5,4,5,5,8,30,35,31,16,17,14,59,63,60,40,37,22,21,15,15
2160,1,2,3,2,3,4,4,32,29,33,8,12,11,69,41,54,34,37,16,28,10,13
2161,1,4,4,4,4,5,6,31,31,31,17,19,18,96,46,41,34,28,32,16,10,9
2162,1,4,4,4,4,5,5,36,32,32,12,13,7,72,55,54,34,40,18,33,9,7
2163,2,4,4,4,4,5,6,33,38,33,17,20,18,69,78,44,40,40,20,19,9,12
2164,2,4,4,4,4,6,4,41,32,40,14,19,15,121,71,41,31,31,26,57,26,26
2165,1,3,3,3,3,4,5,39,46,30,18,17,15,87,45,45,31,37,20,32,11,15
2166,1,4,4,4,4,5,5,34,33,23,14,18,13,69,45,20,37,40,21,27,7,7
2167,1,3,4,3,4,4,3,37,39,32,15,11,12,70,108,75,22,25,31,36,12,15
2168,2,3,4,3,4,4,4,32,35,35,19,18,19,63,70,36,34,34,18,19,9,8
2169,1,4,4,4,4,5,6,36,38,41,18,16,12,61,47,26,31,37,24,24,12,8
2170,1,4,3,4,3,5,3,38,37,45,16,18,12,83,76,59,31,37,13,27,24,17
2171,1,4,5,4,5,6,6,33,32,32,18,18,19,73,75,27,34,40,14,21,12,7
2172,1,4,5,4,5,5,7,34,37,36,17,18,15,58,62,24,31,34,33,19,10,7
2173,1,3,4,3,4,4,5,34,37,31,15,17,16,99,38,70,37,37,20,18,13,11
2174,2,4,3,4,3,5,3,29,29,35,12,10,13,71,146,79,40,37,20,27,20,17
2175,1,3,5,3,5,5,5,32,43,36,19,17,13,33,36,33,37,40,20,16,7,13
2176,1,4,4,4,4,5,6,38,38,32,15,15,14,55,25,30,28,40,27,19,7,7
2177,2,5,5,5,5,7,7,33,36,40,14,14,15,79,77,31,40,34,19,17,11,11
2178,1,4,4,4,4,5,6,32,31,30,16,14,14,79,46,31,37,34,24,18,9,12
2179,1,4,4,4,4,3,6,33,34,29,9,10,9,34,25,27,31,40,22,21,9,8
2180,1,4,5,4,5,6,7,39,29,33,7,8,10,94,48,46,31,28,30,34,11,13
2181,1,5,5,5,5,7,8,37,33,32,18,14,14,39,34,32,37,40,19,20,13,10
2182,1,5,4,5,4,7,5,37,34,31,7,13,12,44,41,35,37,34,28,29,9,7
2183,1,5,5,5,5,7,7,36,33,31,10,13,11,80,56,31,28,34,11,25,18,7
2184,1,5,5,5,5,7,7,41,32,35,15,16,14,59,60,29,37,31,30,37,13,14
2185,1,4,4,4,4,5,6,31,36,32,15,17,13,82,46,37,40,40,16,23,11,11
2186,1,5,5,5,5,7,7,37,32,38,17,16,14,87,30,48,40,40,17,24,9,12
2187,1,3,3,3,3,5,4,34,42,35,18,20,14,77,57,74,37,13,24,15,13,14
2188,2,3,4,3,4,5,5,34,31,29,7,13,12,68,42,73,34,40,26,30,13,12
2189,1,5,5,5,5,7,7,38,29,31,8,12,11,127,24,36,34,34,26,36,9,8
2190,2,4,4,4,4,4,6,45,39,34,17,11,12,96,59,55,34,16,21,22,11,15
2191,1,5,5,5,5,6,7,33,32,31,16,18,16,70,47,24,34,37,21,27,15,14
2192,1,4,5,4,5,6,7,29,33,33,16,14,15,57,99,43,40,37,25,28,16,8
2193,1,5,5,5,5,7,7,31,35,32,19,16,15,45,60,45,37,37,24,15,9,13
2194,1,4,4,4,4,5,4,41,19,40,9,4,15,130,162,77,22,34,25,48,21,22
2195,2,5,5,5,5,7,7,36,37,34,15,17,19,113,42,41,34,40,17,15,12,8
2196,1,4,4,4,4,4,5,40,35,36,14,15,19,93,75,62,22,19,25,43,21,9
2197,1,5,5,5,5,7,6,33,28,36,11,14,11,115,95,74,31,19,26,44,15,14
2198,1,4,4,4,4,5,5,30,30,34,19,16,16,48,34,37,40,37,21,15,13,10
2199,1,4,5,4,5,5,7,37,39,36,14,14,17,160,78,124,37,40,16,49,14,18
2200,1,3,4,3,4,4,5,28,31,34,12,11,14,55,41,26,34,31,21,26,16,10
2201,1,5,4,5,4,7,7,32,33,33,18,15,12,63,80,29,31,40,20,18,8,10
2202,1,4,5,4,5,6,7,34,35,33,16,18,16,51,30,53,40,40,20,23,7,8
2203,1,3,3,3,3,5,4,40,37,37,15,15,16,83,57,23,37,37,13,21,11,11
2204,1,4,4,4,4,6,6,37,38,36,16,18,16,123,63,125,16,40,27,21,9,7
2205,2,4,4,4,4,5,5,41,38,45,16,16,15,85,118,120,19,25,31,60,10,23
2206,1,4,4,4,4,6,6,31,34,36,16,17,12,48,90,126,34,34,18,26,10,9
2207,1,4,5,4,5,4,6,35,39,36,9,19,14,94,49,62,28,28,26,38,12,9
2208,1,5,4,5,4,6,6,36,37,35,17,11,14,61,58,27,40,19,29,20,17,10
2209,2,4,5,4,5,5,6,34,37,36,15,15,12,71,111,40,34,37,29,21,10,11
2211,1,5,5,5,5,6,6,32,34,28,14,13,12,71,97,39,37,40,25,26,14,17
2212,2,4,4,4,4,5,6,32,41,39,12,6,16,87,153,76,37,31,11,28,27,21
2213,1,5,4,5,4,6,5,30,49,38,13,14,16,68,29,22,40,13,20,21,14,12
2214,1,4,4,4,4,6,6,34,33,37,16,14,15,88,94,22,31,13,36,20,10,12
2215,2,4,4,4,4,5,6,36,42,37,9,16,14,94,97,54,28,40,18,28,26,14
2216,1,1,1,1,1,4,4,40,44,33,6,12,19,139,99,146,37,25,28,68,12,15
2217,1,5,4,5,4,5,6,29,36,37,20,20,15,101,117,169,40,40,19,35,11,12
2218,1,5,5,5,5,6,7,35,32,31,16,13,15,48,52,49,37,37,22,36,13,10
2219,2,4,3,4,3,6,4,37,32,39,13,14,15,99,92,40,16,31,23,36,16,8
2220,1,4,4,4,4,5,5,35,34,31,17,19,15,119,39,46,37,37,18,21,10,12
2222,2,4,4,4,4,6,6,40,32,45,9,14,12,104,60,102,31,28,26,46,8,9
2223,1,5,5,5,5,6,8,38,43,37,18,15,14,101,78,132,40,37,22,33,17,12
2224,1,4,3,4,3,5,5,32,35,35,18,19,18,70,89,114,34,37,20,41,12,8
2225,2,4,4,4,4,4,4,33,35,35,9,4,9,69,30,42,31,28,19,39,19,8
2226,1,4,3,4,3,5,4,42,41,37,15,20,18,88,139,133,40,34,18,38,12,16
2227,2,2,3,2,3,3,3,41,57,41,9,4,10,102,168,119,22,25,25,33,15,18
2228,2,4,4,4,4,4,4,40,37,31,11,10,12,87,47,53,34,37,13,41,12,9
2229,1,5,5,5,5,6,5,32,30,31,16,14,9,70,39,37,37,37,21,25,14,10
2230,1,4,3,4,3,6,5,46,34,39,17,10,17,106,150,119,13,31,12,56,21,22
2231,1,5,6,5,6,6,7,36,43,40,13,14,16,115,59,97,40,34,27,37,13,14
2232,1,3,2,3,2,3,3,41,29,25,18,15,19,80,69,41,34,25,17,43,19,17
2233,2,4,5,4,5,5,6,34,29,32,16,16,16,56,46,42,37,28,28,44,13,11
3001,1,3,2,3,2,2,4,39,49,38,17,12,15,91,126,75,34,25,18,25,14,12
3002,1,4,5,4,5,5,5,44,38,45,16,14,13,115,109,86,37,31,18,32,14,11
3003,1,5,6,5,6,6,7,34,36,30,14,13,12,40,90,44,34,37,22,22,12,9
3004,1,4,4,4,4,5,5,31,33,32,11,14,12,57,52,29,28,31,26,19,8,9
3005,1,4,4,4,4,5,4,29,33,32,13,14,15,63,55,33,19,40,20,18,9,7
3006,2,3,4,3,4,5,5,44,33,43,18,16,19,143,150,110,37,40,16,55,9,32
3007,1,3,4,3,4,4,5,38,39,39,10,14,17,99,77,36,34,40,18,27,11,8
3008,2,3,4,3,4,5,4,32,31,33,13,14,12,66,67,42,40,40,24,33,13,10
3009,2,4,4,4,4,5,5,36,32,30,11,14,14,76,93,64,25,37,20,44,16,17
3010,1,5,4,5,4,6,7,31,32,36,13,12,12,100,77,78,40,31,20,27,18,27
3011,1,5,4,5,4,6,6,33,37,39,10,11,13,38,61,99,25,37,18,27,16,25
3012,1,4,5,4,5,6,5,34,36,38,12,14,16,107,69,62,31,40,13,21,17,9
3013,2,3,4,3,4,4,6,40,33,31,16,16,12,117,77,22,31,34,28,23,14,7
3014,1,4,4,4,4,5,4,34,30,41,16,19,15,58,20,27,37,40,26,20,11,7
3015,1,5,5,5,5,6,5,29,36,41,12,17,16,77,72,67,34,37,21,22,13,10
3016,1,5,5,5,5,5,6,38,34,35,11,9,9,103,57,41,25,34,20,23,12,17
3017,1,4,4,4,4,6,5,41,36,35,11,6,13,72,56,94,31,37,21,42,14,15
3018,1,4,4,4,4,4,5,31,35,34,17,17,16,89,41,27,40,37,17,21,9,10
3019,1,4,4,4,4,5,5,30,34,35,20,11,10,90,91,37,22,13,36,16,17,11
3020,1,4,4,4,4,5,6,37,41,34,14,15,15,120,116,99,13,37,21,29,16,18
3021,1,4,4,4,4,5,6,33,36,39,17,15,16,60,128,80,40,40,22,16,17,13
3022,2,4,4,4,4,5,6,33,34,34,16,18,16,52,35,46,37,40,13,18,10,15
3023,1,4,4,4,4,4,6,35,36,34,10,13,15,64,43,22,40,40,25,18,10,8
3024,2,4,3,4,3,4,5,37,36,25,16,13,11,63,56,33,37,16,26,19,11,17
3025,1,4,3,4,3,4,4,40,38,38,14,15,14,89,113,92,34,40,20,41,19,20
3026,1,5,5,5,5,6,6,43,39,37,15,15,16,103,77,44,10,40,18,36,7,10
3027,2,5,5,5,5,5,5,38,35,32,16,11,12,61,71,33,40,40,23,21,11,12
3028,1,5,6,5,6,5,6,34,34,27,16,17,16,53,68,54,13,34,27,48,20,15
