"ID","Time","FSM","Eng","Mat","Btotal","AGtotal","SCtotal","LTtotal","Ltotal"
1054,1,1,3,4,33,13,54,40,16
1054,2,1,0,0,0,13,0,0,10
1054,3,1,6,5,34,11,54,22,10
1055,1,1,4,4,0,0,0,0,0
1055,2,1,0,0,42,16,33,0,25
1055,3,1,5,6,0,0,0,0,0
1056,1,2,4,4,0,0,0,0,0
1056,2,2,0,0,29,16,80,0,14
1056,3,2,6,6,36,18,51,0,15
1057,1,1,4,5,0,0,0,0,0
1057,2,1,0,0,36,13,78,31,13
1057,3,1,6,6,0,0,0,0,0
1058,1,1,4,4,0,0,0,0,0
1058,2,1,0,0,32,14,61,0,10
1058,3,1,6,5,33,15,34,0,7
1059,1,2,4,4,33,16,0,0,25
1059,2,2,0,0,30,9,36,0,12
1059,3,2,6,6,33,18,30,21,9
1062,1,0,0,0,0,0,0,0,0
1062,2,0,0,0,0,0,0,0,0
1062,3,0,3,4,0,0,0,0,0
1063,1,1,4,4,37,10,125,0,0
1063,2,1,0,0,0,9,85,0,14
1063,3,1,4,4,0,8,81,0,22
1064,1,1,4,4,0,0,0,0,0
1064,2,1,0,0,30,17,78,0,14
1064,3,1,5,4,0,0,0,0,0
1065,1,2,4,4,0,0,0,0,0
1065,2,2,0,0,33,19,80,0,7
1065,3,2,5,4,0,18,42,17,7
1066,1,1,5,4,0,0,0,0,0
1066,2,1,0,0,34,15,0,0,9
1066,3,1,6,6,34,16,50,16,10
1068,1,1,4,4,34,18,41,0,0
1068,2,1,0,0,32,16,56,0,17
1068,3,1,6,6,31,13,51,21,14
1069,1,1,5,5,0,0,0,0,0
1069,2,1,0,0,33,15,36,0,12
1069,3,1,6,6,37,17,38,15,13
1070,1,1,4,4,0,0,0,0,0
1070,2,1,0,0,33,16,40,0,9
1070,3,1,4,5,38,16,26,17,8
1071,1,1,4,4,0,0,0,0,0
1071,2,1,0,0,0,13,117,0,13
1071,3,1,5,5,42,10,69,36,17
1072,1,2,4,4,0,0,0,0,0
1072,2,2,0,0,33,15,25,40,8
1072,3,2,6,6,0,0,0,0,0
1073,1,1,0,0,29,12,69,0,16
1073,2,1,0,0,38,18,44,40,10
1073,3,1,5,5,0,0,0,0,0
1074,1,1,4,3,0,0,0,0,0
1074,2,1,0,0,32,14,39,0,8
1074,3,1,5,4,30,11,27,21,8
1075,1,1,4,5,0,0,0,0,0
1075,2,1,0,0,34,10,62,0,19
1075,3,1,5,6,32,10,30,23,13
1076,1,1,4,5,0,0,0,0,0
1076,2,1,0,0,33,14,36,0,10
1076,3,1,6,6,0,7,43,23,11
1077,1,1,4,4,0,0,0,0,0
1077,2,1,0,0,35,19,125,0,9
1077,3,1,5,6,41,17,80,23,18
1078,1,1,4,4,0,0,0,0,0
1078,2,1,0,0,0,18,25,0,7
1078,3,1,5,6,34,16,0,18,7
1079,1,1,4,4,0,0,0,0,0
1079,2,1,0,0,35,14,105,0,13
1079,3,1,5,5,37,13,40,28,7
1080,1,1,4,4,0,0,0,0,0
1080,2,1,0,0,0,13,0,0,7
1080,3,1,5,6,0,0,0,0,0
1081,1,0,0,0,35,12,0,0,16
1081,2,0,0,0,0,0,0,0,0
1081,3,0,5,5,0,0,0,0,0
1082,1,1,4,4,0,0,0,0,0
1082,2,1,0,0,33,18,91,0,12
1082,3,1,5,6,0,0,0,0,0
1083,1,1,4,4,0,0,0,0,0
1083,2,1,0,0,35,14,46,0,12
1083,3,1,6,6,37,11,29,24,9
1084,1,2,5,5,0,0,0,0,0
1084,2,2,0,0,33,19,43,0,8
1084,3,2,6,6,0,17,38,13,7
1086,1,1,5,4,0,0,0,0,0
1086,2,1,0,0,31,13,51,0,9
1086,3,1,5,6,0,14,52,20,10
1087,1,1,5,5,32,20,0,0,16
1087,2,1,0,0,34,18,50,0,14
1087,3,1,6,6,39,20,46,24,10
1088,1,1,4,4,0,0,0,0,0
1088,2,1,0,0,35,20,26,40,7
1088,3,1,5,5,0,12,0,13,7
1089,1,1,5,5,0,0,0,0,0
1089,2,1,0,0,37,18,74,0,0
1089,3,1,6,6,36,12,34,19,8
1090,1,1,5,5,0,0,0,0,0
1090,2,1,0,0,31,18,23,0,11
1090,3,1,5,6,32,15,40,21,14
1091,1,2,4,4,0,0,0,0,0
1091,2,2,0,0,0,14,56,0,17
1091,3,2,4,6,0,20,34,15,0
1092,1,1,5,4,0,0,0,0,0
1092,2,1,0,0,43,9,66,0,20
